id,titulo,autor,precio,idEditorial
1,Avavee,Richardin,472,10568
2,Topiczoom,Stabbins,499,10434
3,Quatz,Tourville,57,10131
4,Blogtags,Stafford,408,10633
5,Wikizz,Lumsdale,214,10330
6,Babbleopia,Scantlebury,318,10295
7,Browsecat,Nowak,351,10073
8,Jabberstorm,Hurford,251,10431
9,Blogtags,Chaytor,309,10815
10,Shuffledrive,Ullyott,256,10019
11,Youopia,Ponnsett,140,10856
12,Fanoodle,McKnish,387,10436
13,Lazzy,Cox,174,10201
14,Twitterlist,Dreus,391,10641
15,Livefish,Mengue,386,10224
16,Eimbee,Pringuer,209,10475
17,Linkbridge,Stanley,92,10875
18,Flipopia,Mirando,277,10428
19,Thoughtmix,de Marco,360,10112
20,Voomm,Jerromes,44,10233
21,Yotz,Dukesbury,387,10790
22,Edgeify,Dealtry,286,10396
23,Abata,Binfield,287,10518
24,Vipe,Meakes,158,10851
25,Camido,Bafford,445,10972
26,Reallinks,Pina,468,10278
27,Dazzlesphere,Sarjant,290,10305
28,Babbleblab,Chaffer,352,10989
29,Zooxo,Kittles,145,10136
30,Meeveo,Saterthwait,10,10803
31,Kare,Edgar,401,10212
32,Quire,Stoite,406,10384
33,Janyx,Widdocks,149,10491
34,Rhycero,Reichhardt,215,10617
35,Jabberbean,Fleet,471,10351
36,Eadel,Davidavidovics,4,10578
37,Jaxworks,Stammer,493,10322
38,Thoughtmix,Winfindine,244,10393
39,Voonder,Watchorn,151,10130
40,Kwimbee,Kempston,16,10170
41,Rhynyx,Grizard,87,10771
42,Zoomdog,Jovicevic,211,10057
43,Skiba,Alner,76,10379
44,Twitternation,Pischof,217,10560
45,Eidel,Scarlett,142,10822
46,Quatz,Fyfe,224,10203
47,Edgewire,Menault,290,10891
48,Yadel,McComb,256,10287
49,Roomm,Sammes,254,10947
50,Vinder,Downe,482,10391
51,Zoonoodle,Blasi,96,10478
52,Oyondu,Collimore,429,10471
53,Twitterbeat,Jehu,6,10773
54,Dazzlesphere,Luckes,430,10985
55,Quinu,Iscowitz,153,10631
56,Nlounge,Micah,392,10569
57,Wikizz,Swarbrick,201,10905
58,Voonix,Burbidge,369,10516
59,Oyoloo,Lund,329,10541
60,Chatterpoint,Ogus,127,10802
61,Quimba,Greson,395,10729
62,Skinte,Simoes,430,10724
63,Cogibox,Aslam,326,10652
64,Meevee,Tunnicliffe,496,10675
65,Flipopia,Birkinshaw,236,10215
66,Shuffledrive,Boldry,36,10092
67,Vinder,Mettericke,139,10984
68,Eare,Nassy,470,10043
69,Quaxo,Igoe,329,10990
70,Twimbo,Battabee,444,10225
71,Plajo,Manthorpe,306,10934
72,Jaxworks,Tunnoch,34,10781
73,Oyoba,Westmorland,387,10939
74,Skaboo,Fitzroy,328,10794
75,Yodoo,Bernardelli,32,10402
76,Snaptags,Lyptrit,455,10221
77,Izio,Silversmid,399,10811
78,Zoonder,MacMeekan,493,10099
79,Plambee,Gainfort,166,10617
80,Roombo,Pailin,193,10915
81,Fliptune,Arnaldi,333,10915
82,Ntags,Deakins,467,10821
83,Trilith,Smitham,312,10101
84,Quimba,Thecham,264,10427
85,Topicblab,Scrine,248,10220
86,Skinix,Gawthrop,132,10663
87,Gabtype,Egginson,45,10346
88,Voolia,Rottery,389,10434
89,Minyx,Blesing,301,10637
90,Kazu,Pringle,100,10480
91,Flashspan,Williamson,35,10313
92,Twinte,Cridland,397,10449
93,Twimbo,Syphas,154,10109
94,Quatz,Alleburton,437,10613
95,Quimba,Purcer,351,10848
96,Jaloo,Endricci,118,10264
97,Skyvu,Ricketts,354,10999
98,Gabtune,Dredge,455,10351
99,Voonte,Elliston,51,10091
100,Youspan,Grelik,276,10276
101,Photofeed,Figurski,467,10501
102,Avaveo,Chrstine,382,10889
103,Voonte,Sawyer,473,10611
104,Kaymbo,Risson,98,10476
105,Trudeo,Burland,366,10449
106,Realbuzz,Bertolin,397,10843
107,Gigazoom,Pratt,347,10823
108,Buzzbean,Piff,21,10847
109,Tagopia,Aveline,131,10408
110,Abatz,Piet,465,10558
111,Zoozzy,Fewtrell,214,10342
112,Realfire,Harget,179,10807
113,Centidel,Brudenell,326,10941
114,Riffpath,Wrathmell,466,10468
115,Mycat,Olver,457,10630
116,Skyndu,Ruddiforth,368,10309
117,Voonder,McCowen,336,10505
118,Yodo,Kyberd,126,10086
119,Thoughtstorm,Hartburn,494,10635
120,Realcube,Cristofanini,440,10819
121,Yodo,Dunston,55,10705
122,Quamba,Sanches,119,10191
123,Wikivu,Swires,151,10323
124,Devpulse,Heale,19,10543
125,Mudo,Assaf,154,10771
126,Dynabox,Glassborow,329,10980
127,Ailane,Terron,256,10330
128,Quire,Manger,120,10145
129,Yamia,Jeroch,313,10448
130,Mynte,McCreery,1,10404
131,Trupe,Audiss,333,10391
132,Babbleopia,Werndly,256,10489
133,Blogtag,Leftly,237,10756
134,Kanoodle,Gillum,164,10762
135,Centizu,Brownlie,386,10236
136,Katz,Hughland,453,10286
137,Ainyx,Steinor,305,10547
138,Blogspan,Gilliland,387,10776
139,Twitterbridge,Doumenc,408,10736
140,Talane,Gabbitis,235,10972
141,Realcube,Nutley,213,10545
142,Skippad,Zorzutti,287,10305
143,Tagpad,Haile,21,10661
144,Mydeo,Southern,446,10984
145,Yamia,Tuffey,346,10666
146,Talane,Shawyers,73,10107
147,Photojam,Ripsher,42,10851
148,Realbuzz,Valente,213,10138
149,Trupe,Mompesson,40,10113
150,Skinix,Chetham,24,10290
151,Riffpedia,Gush,448,10305
152,Topicblab,Twigley,160,10303
153,Bubblemix,Whitcomb,100,10329
154,Kwideo,Tidbold,344,10937
155,Leexo,McClaughlin,403,10172
156,Jabbertype,Spellard,364,10244
157,Jaxworks,McTeggart,110,10013
158,Yacero,Kristoffersson,70,10307
159,Browsebug,Dasent,480,10181
160,Devpulse,Lindgren,356,10217
161,Twitterwire,Legges,26,10516
162,Linkbridge,Randlesome,475,10041
163,Ntags,Ciobutaru,13,10939
164,DabZ,Pittaway,305,10148
165,Midel,Truelove,308,10276
166,Tavu,Nevitt,242,10861
167,Jazzy,Ebbins,267,10535
168,Shuffledrive,Moorcroft,306,10452
169,Kazio,MacNaughton,289,10784
170,Eare,Balderson,436,10705
171,Skipfire,Overy,289,10023
172,Dynabox,Tindall,428,10672
173,Topicware,Engelbrecht,95,10630
174,Shufflebeat,Gerriet,377,10495
175,Youtags,Clearie,226,10699
176,Rhyzio,Kryszka,319,10331
177,Flashpoint,Rugg,472,10898
178,Gabtune,Picton,80,10442
179,Dynazzy,Flowerdew,14,10544
180,Skinder,Sherebrooke,72,10876
181,Dabvine,Lowers,219,10970
182,Riffpedia,Clothier,402,10261
183,Eimbee,Fynn,44,10272
184,Flipstorm,Sturridge,110,10685
185,Flashset,Jelk,156,10942
186,Wordware,Garrattley,99,10563
187,Fatz,Raymont,257,10041
188,Voonix,Brimacombe,323,10855
189,Meembee,Rake,230,10838
190,Blogspan,De Blasio,116,10388
191,Topicstorm,Tabard,342,10949
192,Jaxspan,Sleit,301,10487
193,Thoughtworks,Athy,467,10051
194,Ailane,Anlay,306,10129
195,Myworks,Benitti,491,10611
196,Bluezoom,Peris,386,10616
197,Mydeo,Langmaid,276,10591
198,Wordware,MacDermott,296,10647
199,Realcube,Gorner,10,10103
200,Dabtype,Seaton,498,10429
201,Thoughtworks,Skirving,144,10807
202,Trudoo,Letertre,368,10131
203,Bubblebox,Taffe,22,10267
204,Eamia,Reubel,390,10805
205,Thoughtsphere,Ferronier,270,10865
206,Reallinks,Shoveller,322,10557
207,Yozio,Ferencz,406,10528
208,LiveZ,Campanelli,370,10036
209,Kazu,Kincaid,478,10520
210,Jayo,De Gogay,145,10057
211,Fliptune,Pepye,486,10586
212,Katz,Chiese,73,10390
213,Twitterbridge,O'Heneghan,85,10943
214,Meezzy,Grigoryov,475,10670
215,Rhycero,Kane,84,10156
216,Feednation,Esser,487,10307
217,Livepath,Massel,388,10964
218,Linktype,Busfield,137,10070
219,Linkbuzz,Stoffel,40,10598
220,Mycat,Saben,420,10484
221,Rooxo,Bunning,284,10139
222,Twinte,Makey,358,10233
223,Eazzy,Sterry,160,10751
224,Yakitri,Bosnell,455,10409
225,Omba,Guerrieri,97,10848
226,Quaxo,Di Maria,422,10982
227,Twimm,Ollington,135,10169
228,Ntag,Gregoli,46,10470
229,Eazzy,Leathart,325,10917
230,Rhyloo,Graine,157,10883
231,Twinte,Carik,186,10750
232,Fadeo,Bourhill,32,10335
233,Thoughtmix,Pont,169,10633
234,Mycat,Scardefield,388,10629
235,Ozu,Ferenczi,220,10532
236,Lazzy,Rookes,358,10962
237,Tavu,Snowding,27,10606
238,Quimm,Ahrenius,235,10435
239,Tambee,Perone,162,10041
240,Photolist,Horsewood,491,10932
241,Talane,Beechcraft,344,10528
242,Meevee,Ahrenius,345,10283
243,Fadeo,O'Shiel,123,10839
244,Topicstorm,oldey,262,10081
245,Voonder,Frosch,411,10625
246,Skiptube,Speariett,32,10011
247,Twiyo,Bangle,287,10448
248,Devbug,Ebbins,408,10902
249,Leenti,Pinchback,54,10835
250,Thoughtworks,Besant,22,10935
251,Dynabox,Sayse,231,10327
252,Wordware,McRitchie,202,10690
253,Jabbercube,Scrauniage,308,10441
254,Lazz,Hold,76,10756
255,Roomm,Siemons,469,10331
256,Abata,Blasdale,481,10134
257,Gabtune,Huard,31,10187
258,Kaymbo,Eynaud,289,10846
259,Edgepulse,Moulder,254,10352
260,Eare,Stooke,461,10708
261,Oyoba,Foch,41,10857
262,BlogXS,Klain,400,10855
263,Ozu,Sendall,423,10270
264,Talane,Yuille,452,10773
265,Yacero,Gargett,79,10347
266,Aimbu,Revance,95,10696
267,Zooveo,Lenormand,381,10488
268,Feedspan,Wannell,459,10840
269,Roodel,Levesque,257,10290
270,Kayveo,Dimmick,481,10183
271,Plambee,Copper,411,10418
272,Skiba,Ruffler,260,10580
273,Twitterbeat,Snyder,198,10542
274,Babblestorm,Haddleton,424,10567
275,Linklinks,Malam,204,10530
276,Blogtags,Bonafant,192,10887
277,Jazzy,Haccleton,19,10279
278,Devpoint,Keri,179,10122
279,Babbleset,Walters,46,10373
280,Flipopia,Slimme,249,10555
281,Zoonoodle,Morriss,40,10002
282,Kare,Lucio,356,10770
283,Yadel,Draycott,55,10968
284,Podcat,Philo,138,10807
285,Nlounge,Benedick,44,10215
286,Topicblab,Nassy,481,10810
287,Topiczoom,Mallett,300,10790
288,Abatz,Twiddy,98,10997
289,Voonte,Hince,347,10799
290,Skynoodle,Jirousek,334,10907
291,Buzzster,Varga,125,10832
292,Meejo,Penquet,370,10287
