id,titulo,autor,precio,idEditorial
1,To End All Wars,Elianore,3867,2
2,The Pirates,Brunhilde,3972,5
3,American Samurai (Ninja: American Samurai),Becky,4595,4
4,Ixcanul Volcano,Rey,4163,2
5,Tears of the Sun,Yancy,1415,4
6,Step Up All In,Livvyy,1188,3
7,Star Maps,Vanya,3310,4
8,Undertow,Zondra,2913,3
9,Mission to Moscow,Alonzo,3237,6
"10,""Sommer der Gaukler, Der"",Thelma,4379,6"
11,Parenthood,Shanna,2759,4
12,This Is Not a Film (In film nist),Cherye,4606,5
13,Ricky,Mel,4489,2
14,Into the Wild,Sisile,4762,1
"15,""Thief of Bagdad, The"",Marketa,4370,5"
16,Army Brats (Schatjes!),Sella,1064,1
17,Project X,Erminie,4590,2
18,Backflash (Backflash Blues),Heinrick,3432,4
"19,""Matrix, The"",Nathalia,3111,4"
20,Dreams (Kvinnodröm),Pearce,4336,5
21,Bootmen,Elihu,4827,1
"22,""Mermaid, The (Rusalka)"",Guinevere,2995,1"
23,Storyville,Verina,3834,4
24,Coney Island,Gigi,1246,4
25,Barefoot (Barfuss),Stacee,1304,6
26,Antique (Sayangkoldong yangkwajajeom aentikeu),Staci,1350,1
"27,""Holy Mountain, The (Montaña sagrada, La)"",Britta,3198,3"
28,The Search for Santa Paws,Keenan,4460,6
"29,""Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le)"",Batsheva,1657,1"
30,Among Giants,Brandy,3831,6
31,My Amityville Horror,Aubrette,1928,1
32,Love Object,Jayme,2686,2
33,Six Days,Peggie,3152,1
"34,""Amanece, que no es poco"",Yasmin,1013,2"
35,Citizen Gangster ,Riobard,4059,6
36,Looking for Lenny ,Beatrisa,1876,5
37,Eloise at Christmastime,Noland,2930,3
38,Bridesmaids,Ralf,2448,6
39,Hospital,Lock,1012,6
40,Berberian Sound Studio,Livvyy,4015,6
41,Carbon Nation,Minnaminnie,3096,5
42,Is Anybody There?,Angelina,4197,2
43,Sun Alley (Sonnenallee),Leonie,2420,1
"44,""Stuff, The"",Giselle,3504,6"
45,Bill Bailey: Tinselworm,Austina,2067,1
46,Back Street,Ammamaria,3411,5
47,Evening,Darlleen,4183,1
48,Eight Men Out,Currey,1315,6
49,All the Queen's Men,Gilly,2503,5
50,Grouse,Emmalyn,1199,6
